datetime,city,pm25,pm10,no2,co,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,Deonar - Mumbai,104.3,154.52,53.66,0.69,27.41,5.25,120,45,0.71,1,26.3,81,8.0,4.2
2020-01-01 06:00:00,Deonar - Mumbai,126.23,194.04,58.43,0.99,20.62,7.72,241,31,0.34,0,15.8,68,7.6,1.6
2020-01-01 12:00:00,Deonar - Mumbai,106.43,159.13,57.91,0.86,25.15,7.71,195,36,0.43,0,30.6,88,9.9,3.6
2020-01-01 18:00:00,Deonar - Mumbai,101.82,145.88,70.98,0.96,35.79,7.74,247,30,0.63,0,19.6,70,3.9,7.8
2020-01-02 00:00:00,Deonar - Mumbai,60.5,79.1,38.83,0.69,21.99,8.34,112,46,0.84,0,27.7,44,11.0,7.2
2020-01-02 06:00:00,Deonar - Mumbai,109.28,166.48,72.3,0.93,26.92,6.07,238,31,0.79,0,20.3,85,4.3,1.7
2020-01-02 12:00:00,Deonar - Mumbai,110.3,175.74,64.82,0.8,13.0,8.61,197,36,0.71,0,32.7,50,7.0,2.5
2020-01-02 18:00:00,Deonar - Mumbai,129.28,190.43,74.23,1.0,33.19,7.69,234,31,0.6,0,25.3,70,1.8,2.1
2020-01-03 00:00:00,Deonar - Mumbai,105.91,162.64,44.37,0.71,17.83,8.46,125,45,0.79,0,24.0,77,9.2,4.4
2020-01-03 06:00:00,Deonar - Mumbai,108.38,167.31,70.66,0.97,21.45,12.17,248,30,0.79,0,18.7,45,11.5,8.9
2020-01-03 12:00:00,Deonar - Mumbai,112.09,172.4,53.17,0.88,32.53,4.02,181,38,0.7,0,18.7,55,4.4,0.2
2020-01-03 18:00:00,Deonar - Mumbai,97.13,145.5,64.42,0.92,20.68,3.43,230,32,0.25,0,19.5,48,5.6,6.9
2020-01-04 00:00:00,Deonar - Mumbai,71.82,93.34,41.72,0.74,30.88,10.94,126,44,0.73,0,21.1,54,10.9,2.5
2020-01-04 06:00:00,Deonar - Mumbai,118.8,182.12,59.25,0.93,17.84,12.5,233,32,0.3,0,18.0,75,3.9,0.6
2020-01-04 12:00:00,Deonar - Mumbai,96.72,141.35,60.81,0.89,32.16,9.28,187,37,0.35,0,22.2,54,10.1,5.9
2020-01-04 18:00:00,Deonar - Mumbai,106.26,155.34,69.3,1.05,27.34,16.19,257,29,0.58,0,30.4,44,7.1,0.5
2020-01-05 00:00:00,Deonar - Mumbai,101.23,148.63,35.48,0.75,17.57,8.63,105,47,0.87,0,34.4,63,2.8,1.3
2020-01-05 06:00:00,Deonar - Mumbai,114.35,183.1,78.19,1.07,25.82,13.81,257,29,0.31,0,20.3,40,1.9,8.9
2020-01-05 12:00:00,Deonar - Mumbai,106.59,167.66,63.12,0.9,31.05,10.81,175,39,0.81,0,15.9,70,3.1,7.5
2020-01-05 18:00:00,Deonar - Mumbai,100.85,159.13,68.42,0.95,29.65,11.78,244,30,0.86,0,19.5,89,6.3,4.9
2020-01-06 00:00:00,Deonar - Mumbai,69.02,93.32,39.54,0.8,24.02,4.57,126,44,0.73,1,18.2,52,7.1,8.0
2020-01-06 06:00:00,Deonar - Mumbai,91.92,150.08,78.52,1.04,26.22,9.96,244,30,0.23,0,16.3,74,9.7,4.6
2020-01-06 12:00:00,Deonar - Mumbai,101.99,162.06,55.96,0.85,29.82,7.56,177,38,0.4,0,30.5,67,5.3,2.2
2020-01-06 18:00:00,Deonar - Mumbai,109.59,185.02,72.59,0.93,24.0,12.37,241,31,0.74,0,17.8,45,4.2,2.7
2020-01-07 00:00:00,Deonar - Mumbai,97.55,156.11,47.87,0.72,19.81,9.24,115,46,0.6,0,26.3,89,1.5,4.7
2020-01-07 06:00:00,Deonar - Mumbai,128.05,193.0,71.42,0.89,21.89,11.31,234,31,0.72,0,32.6,83,7.9,1.2
2020-01-07 12:00:00,Deonar - Mumbai,103.95,149.92,54.46,0.91,27.52,9.61,191,37,0.46,0,17.0,47,9.1,3.2
2020-01-07 18:00:00,Deonar - Mumbai,109.0,160.38,75.13,0.95,22.12,8.72,251,29,0.28,0,16.1,45,3.7,6.2
2020-01-08 00:00:00,Deonar - Mumbai,94.85,137.48,42.71,0.69,21.38,12.32,123,45,0.2,0,20.8,64,3.1,5.0
2020-01-08 06:00:00,Deonar - Mumbai,118.56,166.78,66.39,1.02,20.08,7.65,247,30,0.21,0,22.0,53,11.1,1.4
2020-01-08 12:00:00,Deonar - Mumbai,127.55,185.47,56.03,0.82,19.93,10.12,196,36,0.28,0,25.4,73,3.6,1.2
2020-01-08 18:00:00,Deonar - Mumbai,121.57,191.71,64.1,1.03,26.0,10.74,249,30,0.92,0,15.8,51,2.7,7.1
2020-01-09 00:00:00,Deonar - Mumbai,92.59,149.72,45.0,0.73,32.57,9.72,111,46,0.8,0,17.9,71,1.7,5.7
2020-01-09 06:00:00,Deonar - Mumbai,99.25,144.94,66.74,0.91,25.86,10.69,235,31,0.21,0,29.6,44,10.9,7.4
2020-01-09 12:00:00,Deonar - Mumbai,78.19,114.11,60.78,0.79,30.72,12.15,199,36,0.65,0,17.6,68,8.8,8.9
2020-01-09 18:00:00,Deonar - Mumbai,108.97,155.5,69.05,0.99,31.22,11.58,249,30,0.89,0,21.2,50,1.4,1.9
2020-01-10 00:00:00,Deonar - Mumbai,92.54,144.65,48.29,0.8,20.97,11.02,126,44,0.89,0,17.6,66,6.8,1.6
2020-01-10 06:00:00,Deonar - Mumbai,108.94,176.18,60.87,0.99,24.64,8.65,253,29,0.48,0,21.1,55,11.4,5.9
2020-01-10 12:00:00,Deonar - Mumbai,108.87,165.43,53.96,0.89,25.52,9.26,198,36,0.89,1,33.8,58,2.7,4.2
2020-01-10 18:00:00,Deonar - Mumbai,93.19,129.6,70.16,0.93,19.54,14.82,235,31,0.31,0,34.7,65,8.0,6.0
